new_words,seconds_trans,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,delta2,lowAlpha2,highAlpha2,lowBeta2,highBeta2,lowGamma2,middleGamma2,theta2
than Yemen that's TRUE and would you agree that Korea is a more developed,560,2,2,0,0,1,0,560,2,1,0,0,0,0,-1.484,-1.291,-1.413,-1.229,0.168,-0.297,-0.432,-1.574,-1.5,-1.403,-1.387,-1.381,-0.605,-0.787,-0.641,-1.196
Nation who has signed the UN agreement for refugees has an international,565,2,2,0,0,1,0,565,2,1,0,0,0,0,-1.475,-1.287,-1.416,-1.317,-0.421,-0.713,-1.092,-1.667,-1.052,-1.27,-1.303,-1.355,0.394,-0.638,-1.811,-1.341
obligation to take in refugees yeah then you agree that Korea has,570,2,2,0,0,1,0,570,2,1,0,0,0,0,-1.321,-1.286,-1.37,-1.329,-0.872,-0.625,-2.067,-1.7,-1.394,-1.603,-1.282,-1.336,-0.527,-0.568,-1.845,-1.914
the obligation to take refugees and therefore it must take it are they fine for the,575,2,2,0,0,0,0,575,2,1,0,0,0,0,-1.412,-1.121,-1.509,-1.255,-0.28,-0.957,-1.764,-1.276,-1.113,-0.842,-1.133,-1.305,0.232,0.309,-1.134,-0.785
UN immigration but that does not mean that they have to take them a I haven't,580,2,2,0,0,0,0,580,2,2,0,0,0,0,-1.218,-1.167,-1.397,-1.215,-0.008,0.288,-0.716,-0.617,-1.284,-1.403,-0.982,-1.054,-0.481,-0.628,-0.575,-1.293
read the UN Refugee act perfectly but the Korea doesn't have,585,1,2,0,0,0,0,585,2,2,0,0,0,0,-1.296,-0.824,-1.371,-1.256,0.565,-0.45,-0.934,-1.088,-1.465,-1.357,-1.256,-1.334,-0.152,0.365,-2.307,-1.783
enough wealth to support and then the current young,590,2,3,0,0,0,0,590,2,3,0,0,0,0,-1.031,-0.82,-1.15,-0.994,1.737,0.157,0.881,-1.247,-1.443,-1.506,-1.35,-1.365,-0.227,-0.803,-2.454,-1.932
people young Generations have don't have jobs so why should you use tax on them to support,595,2,3,0,0,0,0,595,2,3,0,0,0,0,-1.337,-1.267,-1.25,-1.133,1.609,2.023,-1.25,-1.494,-1.633,-1.572,-1.417,-1.339,-0.508,-0.945,-1.093,-1.642
them while even the Korean people don't have enough jobs and even like the,600,2,3,0,0,0,0,600,2,2,0,0,0,0,-0.96,0.124,-1.148,-0.797,1.862,1.239,1.14,-1.063,-1.277,-1.27,-1.151,-1.269,0.07,-0.43,-2.085,-1.487
veterans who joined the Korean War skill,605,2,3,0,0,0,0,605,2,2,0,0,0,0,0.303,-0.239,-0.714,-0.309,2.187,3.018,-0.136,0.46,-0.908,-1.039,-1.252,-1.169,0.083,0.007,-1.134,-1.512
it starts not when you make me did you know how USA become the strongest country,5,1,1,0,0,1,0,5,1,2,0,0,0,0,0.207,-1.197,-0.108,-0.816,0.608,0.826,-0.651,0.869,-1.074,-0.727,-1.162,-1.003,0.213,0.959,-0.193,-1.331
in the world that was because of the refugees the USA has started,10,1,1,0,0,1,0,10,1,2,0,0,0,0,-0.342,-0.542,-0.865,-0.781,2.124,0.07,0.244,-0.68,1.675,0.546,0.259,0.024,4.289,5.368,0.752,0.872
from the refugees of Mayflower in 1620 from the English,15,1,1,0,0,2,0,15,1,2,0,0,0,0,-0.411,-0.429,-0.931,-1.133,2.679,0.934,-1.371,-1.17,-0.868,-0.727,-0.828,-0.784,1.095,0.632,-0.823,-0.781
from the English by the religious religious thing,20,1,1,0,0,2,0,20,1,2,0,0,0,0,-1.48,-1.323,-1.334,-1.287,-0.743,-0.266,-0.7,-1.287,0.09,1.087,-0.501,-0.698,2.524,2.025,-0.762,-0.327
in USA we can begin Motown and the city and a country,25,1,1,0,0,1,0,25,1,2,0,0,0,0,-1.582,-1.548,-1.476,-1.403,-0.583,-0.585,-1.153,-1.72,-0.266,-0.216,-0.733,-1.008,0.528,1.183,-0.906,-0.528
and a United 1313 state or country by the,30,1,1,0,0,1,0,30,1,2,0,0,0,0,-1.123,-0.969,-1.281,-1.001,0.546,-0.101,0.748,-1.038,-1.001,0.064,-0.671,-0.737,0.475,0.021,-0.556,-1.25
refugees that they wanted freedom,35,1,1,0,0,1,0,35,1,2,0,0,0,0,-1.377,-1.34,-1.156,-1.136,0.101,-0.319,-0.784,-1.381,-0.968,-0.847,-1.356,-1.139,-0.629,-0.362,-0.174,-1.062
and power without all of the without of English it will,40,1,1,0,0,1,0,40,1,2,0,0,0,0,-0.916,-0.834,-1.298,-1.05,0.492,0.681,1.905,-1.322,-1.51,-0.901,-1.35,-1.168,-0.602,-0.659,-1.18,-1.355
form run and for a second second,45,1,1,0,0,1,0,45,1,2,0,0,0,0,-1.594,-1.451,-1.439,-1.296,-0.73,-0.815,-0.816,-1.521,-0.576,-1.327,-1.059,-1.227,-0.681,-0.378,-0.743,-1.402
chance and for a second second chance they got refugees from the euro,50,1,1,0,0,1,0,50,1,2,0,0,0,0,-1.195,-1.167,-1.374,-1.046,-0.03,0.128,-0.736,-1.236,-0.92,-0.922,-1.174,-1.135,-0.364,-0.747,-1.188,-1.294
drop Italian recipes Italian and Irish for,55,1,1,0,0,1,0,55,1,2,0,0,0,0,-1.363,-1.367,-1.356,-1.261,-0.535,-0.643,0.301,-1.654,-0.76,-0.994,-1.263,-1.236,-0.849,-0.833,-0.865,-0.963
something they wanted job because of the painting and colony,60,1,1,0,0,1,0,60,1,2,0,0,0,0,-0.673,-1.161,-1.213,-0.98,0.971,0.397,0.637,-0.786,-0.657,-0.934,-0.841,-0.844,-0.139,-0.589,-0.867,-0.932
without these are finished and a Spanish from medical,65,1,1,0,0,1,0,65,1,2,0,0,0,0,-0.846,-1.457,-1.395,-1.145,0.117,-0.615,-1.152,-1.46,0.356,0.464,-0.289,-0.741,4.244,0.074,-0.145,0.873
staff who are their job for money for money and Etc,70,1,1,0,0,1,0,70,1,2,0,0,0,0,-1.485,-1.249,-1.421,-1.36,-0.439,-0.586,-0.571,-1.325,-0.566,1.049,-0.12,-0.235,2.733,3.49,1.816,-0.244
without those things USA had not become more powerful country,75,1,1,0,0,1,0,75,1,2,0,0,0,0,-0.446,-1.012,-0.513,-0.734,2.363,-0.174,-0.249,-0.274,-0.62,1.293,-0.446,-0.324,0.948,0.62,0.914,-0.336
and the most powerful country in the world without the Multicultural multi culture of salad,80,1,1,0,0,1,0,80,1,2,0,0,0,0,-1.235,-0.863,-1.306,-1.189,-0.129,-0.325,0.477,-1.567,-1.13,-0.658,-1.391,-1.194,-0.484,-0.331,-0.79,-0.686
bowl the thing,85,1,1,0,0,2,0,85,1,2,0,0,0,0,-0.817,-0.499,-1.119,-0.784,1.246,0.857,0.114,0.789,0.576,-0.59,-0.893,-0.96,0.055,0.06,-1.412,-1.05
the we should ban refugees is going is perpetually,90,1,1,0,0,2,0,90,1,2,0,0,0,0,-0.944,-0.899,-1.165,-1.022,0.453,-0.027,2.128,-0.562,-0.553,-0.768,-1.142,-0.939,0.467,0.448,0.688,-1.316
not logical thing,95,1,1,0,0,1,0,95,1,2,0,0,0,0,-1.114,-1.235,-1.372,-1.33,-0.43,-0.239,-0.367,-1.56,0.526,1.957,-0.046,-0.46,2.078,2.367,-0.198,0.27
I understand your idea but I think the case of USA,100,2,2,0,0,2,0,100,1,2,0,0,1,0,-0.106,-0.52,-0.926,0.016,2.788,1.515,1.314,-0.568,1.319,0.396,-0.879,-0.358,1.503,0.437,0.313,1.512
is a case of 30 of like almost a century ago,105,2,2,0,0,2,0,105,1,2,0,0,1,0,-1.056,-0.804,-1.034,-1.062,2.044,1.482,1.306,-0.354,0.082,-0.285,-0.272,-0.484,4.136,4.061,-0.038,0.052
and it should be up to occur it shouldn't be applicable to now because as you can see,110,3,2,0,0,1,0,110,1,2,0,0,1,0,-1.508,-1.299,-1.303,-1.316,-0.303,0.013,-0.961,-1.741,0.694,0.734,-0.284,0.831,5.564,3.309,-0.28,0.65
if you refer to other examples in countries like European countries like Germany,115,3,1,0,0,1,0,115,1,2,0,0,1,0,-1.421,-0.648,-0.968,-1.34,1.614,0.399,-0.716,-1.084,5.526,2.313,0.35,1.581,4.729,6.361,-0.391,-0.084
French Greece or turkey they actually face a lot of problems regarding their Refugee,120,3,1,0,0,2,0,120,1,2,0,0,1,0,-0.88,-1.029,-1.142,-0.834,-0.168,-0.042,-1.351,-1.32,-0.419,-0.613,-0.046,-0.589,2.51,4.964,-0.178,-1.055
because I think Germany and France and Greece,125,3,2,0,0,2,0,125,2,1,0,0,1,0,-1.069,-0.98,-1.343,-1.233,0.126,0.449,-1.677,-1.615,0.816,-0.508,0.41,0.882,5.573,5.534,0.149,0.304
have problems but how about turkey turkey is not actually they only put the,130,3,2,0,0,1,0,130,2,1,0,0,1,0,-1.388,-0.698,-1.126,-1.076,0.408,0.426,-0.065,-0.992,-0.448,0.386,0.031,0.306,4.226,4.257,-0.214,-0.313
refugee inside the camp they don't let the few Fuji outside of the camp I didn't even know what,135,3,1,0,0,1,0,135,2,1,0,0,1,0,-1.166,-0.936,-1.174,-1.241,0.835,0.652,-0.478,-0.918,-0.581,-0.806,-1.222,-1.034,-0.558,-0.93,0.179,-1.65
the news that turkey has receiving the refugees except for Syria,140,3,1,0,0,2,0,140,2,1,0,0,1,0,-1.248,-0.885,-1.295,-1.231,-0.371,-0.599,-1.454,-1.575,0.481,2.893,2.081,2.018,6.794,5.378,-0.442,0.852
except for Syria they actually put the if you read the news,145,3,2,0,0,1,0,145,2,1,0,0,1,0,-0.144,0.895,-0.562,-0.307,4.246,4.727,2.015,0.689,0.515,1.688,1.421,0.092,4.039,5.028,1.186,-0.34
they actually put a refugee in the candidate they actually warned that they got to release the refugee from the can,150,3,1,0,0,2,0,150,2,1,0,0,1,0,-1.141,-1.382,-0.998,-1.208,1.143,0.827,0.444,-1.235,-0.18,2.089,-0.858,0.602,1.707,1.995,-0.489,0.456
as a warning sign for like a kind of risk,155,3,2,0,0,2,0,155,2,1,0,0,1,0,-1.345,-1.024,-1.242,-1.235,0.512,0.06,-0.57,-1.548,-0.283,2.099,0.499,2.035,7.967,6.9,-0.379,-0.196
or a threat to the u.s. to the European Union so I believe that,160,3,2,0,0,2,0,160,2,1,0,0,1,0,-1.545,-1.495,-1.487,-1.395,-0.883,-0.919,-1.439,-1.817,-0.495,-0.364,-0.496,-0.572,2.923,2.065,-0.454,-0.239
they actually have to Refugee and they just use a lot of refugee at one of the threat but I think that's not,165,3,2,0,0,2,0,165,2,1,0,0,1,0,-0.916,-0.718,-0.626,-1.042,3.611,2.42,-0.241,-0.96,0.621,0.116,1.672,0.339,7.847,4.19,-0.033,1.252
my main argument my been argument here is that by putting,170,3,2,0,0,1,0,170,2,1,0,0,1,0,-1.268,-1.041,-1.22,-1.115,0.456,0.397,-1.058,-1.025,0.154,0.301,0.574,1.282,7.004,8.787,0.145,1.4
us at the strongest is why not be applicable to the current situation right now and,175,3,2,0,0,1,0,175,2,1,0,0,1,0,-1.32,-1.077,-1.197,-1.029,0.001,-0.16,-1.651,-1.557,0.395,-0.22,0.605,0.083,5.42,4.786,2.011,0.247
if we look at Korea Korea is actually not voluntary,180,3,2,0,0,2,0,180,2,1,0,0,1,0,-1.375,-1.244,-1.199,-1.146,0.758,0.903,-0.104,-1.149,-0.342,0.879,-0.124,-0.344,4.919,4.167,-1.107,-0.354
accepting the refugee at comparing to u.s. u.s. actually they welcome the refugee as one of the wave,185,3,2,0,0,2,0,185,2,1,0,0,1,0,-1.313,-1.175,-1.38,-1.355,-0.57,-0.943,-2.54,-1.626,1.1,2.727,1.022,0.168,3.777,4.201,-0.644,-0.152
of their country to develop but career has already developed and this infrastructure and Miss political,190,3,2,0,0,1,0,190,2,1,0,0,1,0,-1.275,-0.621,-1.355,-1.211,-0.118,0.512,-1.725,-1.207,0.589,0.511,0.32,0.269,3.283,3.838,0.17,-0.341
system is not suitable ooh for receiving the profusion I don't,195,3,2,0,0,2,0,195,2,1,0,0,1,0,-1.493,-0.878,-1.19,-1.107,0.669,-0.209,-1.107,-1.413,2.405,0.404,5.286,2.444,9.612,10.245,-0.125,0.587
think so I don't think so Korea needs to be better off Korea s,200,3,2,0,0,1,0,200,2,1,0,0,1,0,-1.342,-1.335,-1.374,-1.283,-0.003,-0.35,-1.086,-1.762,0.376,-0.394,0.082,-0.58,3.646,5.908,-0.507,0.444
economy The Divided one is stopped and if,205,3,2,0,0,1,0,205,2,1,0,0,1,0,-1.261,-1.248,-1.293,-1.142,0.476,-0.475,0.03,-1.206,-1.184,-1.093,-1.079,-1.123,0.168,-0.156,-1.235,-1.298
it may be the refugees from resettling refugees have a,210,2,2,0,0,2,0,210,2,2,0,1,1,0,-1.382,-1.566,-1.407,-1.363,-0.178,-0.816,-0.232,-1.723,2.107,0.73,0.216,0.731,6.002,4.07,-0.081,1.607
good idea about Korea that should be the way to new breakthrough,215,2,2,0,1,2,0,215,2,2,0,1,1,0,-1.139,-0.753,-1.009,-0.892,1.781,1.082,-0.39,-0.157,-0.732,1.918,0.225,-0.675,1.354,2.091,0.105,-0.421
to the way of Korea to say oh they're Market to,220,2,2,0,1,1,0,220,2,2,0,1,1,0,-0.176,-0.621,-0.968,-1.099,2.362,1.554,0.175,0.013,0.493,1.396,0.268,-0.052,2.397,3.64,2.212,0.359
that means Yemen or Syria or something countries,225,2,2,0,0,1,0,225,2,2,0,1,1,0,-0.975,-0.476,-1.071,-1.27,1.853,1.496,-1.082,-1.066,-0.553,1.243,-0.544,-0.977,0.733,1.367,0.126,-0.334
should be the new market of Korea it is an investment for the future,230,2,2,0,1,1,0,230,2,2,0,1,1,0,-1.416,-1.307,-1.368,-1.124,-0.141,-0.314,0.141,-0.931,-0.98,-0.738,-0.909,-0.717,0,-0.157,-0.829,-1.391
and now it now pour the Korea the other countries Iraq,235,2,2,0,1,1,0,235,2,2,0,1,1,0,-1.161,-1.269,-1.194,-1.094,0.232,0.357,2.098,-1.205,-1.1,2.136,-0.706,-0.921,0.91,-0.264,0.005,-0.504
and Syria Europe and turkey I can turkey should be banned for this argument,240,3,2,0,1,1,0,240,2,2,0,1,1,0,-0.579,-0.817,-1.044,-0.625,8.61,4.497,-0.944,-0.321,-0.634,-1.073,-0.902,-0.971,0.6,0.315,-1.556,-0.231
turkey is not it,245,3,2,0,1,1,0,245,2,2,0,1,1,0,-0.921,-1.23,-1.133,-1.083,0.519,0.815,-0.365,-1.027,-0.134,2.018,-1.242,-0.608,0.119,0.449,-0.819,0.27
can be seen grilled it for this problem we should we should make a can,250,3,2,0,1,1,0,250,2,2,0,1,1,0,-0.428,0.622,-0.525,-0.537,4.97,3.442,0.918,1.752,0.816,0.167,-0.522,-0.547,3.424,2.3,-0.587,0.214
inside of Jeju Island to poor refugees not ready now the topper images,255,3,2,0,1,1,0,255,2,2,0,1,1,0,-1.389,-1.105,-1.365,-1.338,0.683,-0.07,-1.421,-1.687,1.019,1.064,0.111,0.092,5.319,3.49,-0.164,1.164
we should make a camp it is Jeju Island is not a can its nature,260,3,2,0,1,1,0,260,2,2,0,1,1,0,-1.241,-1.138,-1.444,-1.301,-0.277,0.144,-1.245,-1.477,-0.606,-0.32,-0.606,-1.183,0.342,1.539,-0.486,0.038
people and repudiate the harmony call refugees,265,2,1,0,1,2,0,265,2,2,0,1,1,0,-1.201,-1.299,-1.359,-1.333,0.358,-0.479,-1.464,-1.478,-0.195,0.314,-0.761,-0.738,0.776,3.376,-0.955,0.98
but regarding the development of Korea I think that is,270,2,1,0,1,1,0,270,2,2,0,1,1,0,-1.474,-0.864,-1.397,-1.203,-0.122,0.271,-0.042,-1.499,-0.702,-0.607,-0.257,-1.013,3.068,1.418,-0.84,-0.956
it better to focus on Korean people first when you develop Korea because Korean people that,275,2,1,0,1,2,0,275,2,2,0,1,1,0,-1.406,-0.979,-1.124,-1.342,1.02,1.427,-1.295,-1.72,0.013,-1.076,0.247,-0.074,4.078,2.6,-1.379,-0.66
read the core resources of Korea like Korea hasn't is used to be a homogeneous country so,280,2,1,0,1,2,0,280,2,2,0,1,1,0,-0.74,-0.917,-0.848,-1.141,1.021,1.259,-0.984,-0.368,0.099,4.499,1.729,2.46,4.422,6.544,0.937,0.82
even with Korean people do they actually you guys actually was able to develop into,285,2,1,0,1,1,0,285,2,2,0,1,0,0,-1.437,-1.008,-1.292,-1.253,0.003,0.779,0.066,-1.179,0.821,3.171,0.878,0.278,8.852,4.31,0.852,0.891
one of the main power in the world so isn't keep focusing on Korean people,290,2,1,0,1,2,0,290,2,2,0,1,0,0,-1.556,-1.081,-1.082,-1.275,0.835,0.361,-0.506,-0.777,3.291,1.542,1.912,-0.232,5.629,5.146,-0.086,2.116
is one of the way to develop to develop Korea a better country,295,1,1,0,0,2,0,295,2,2,0,1,0,0,-1.4,-1.357,-1.28,-1.288,0.463,1.183,-0.173,-1.647,-0.383,-0.19,-0.485,-0.623,1.599,1.644,-1.527,-1.643
in the future and talking about Korean people actually do you the Yemen if Yugi,300,1,1,0,0,2,0,300,2,2,0,1,0,0,-1.248,-1.16,-1.259,-1.231,0.436,-0.376,-1.541,-1.696,-0.492,0.534,0.462,-0.248,3.65,1.192,-1.84,-1.319
in in Jeju Island actually cause a lot of trouble for Korean people like,305,1,1,0,0,2,0,305,2,2,0,1,0,0,-1.284,-0.965,-1.268,-1.28,0.903,0.36,-0.864,-1.763,2.19,2.23,2.565,0.99,10.097,12.133,0.054,1.196
the people who residing in Korea and they actually stick to seven cases of Korean,310,1,1,0,0,2,0,310,2,2,0,1,0,0,-1.546,-1.457,-1.399,-1.267,-0.375,-0.355,-2.452,-1.517,1.951,3.262,1.964,0.745,9.902,4.538,1.455,-0.163
woman who actually got adopted by Korean I buy the gemenese refugee,315,2,2,0,1,1,0,315,2,2,0,1,0,0,-0.703,-0.546,-0.48,-0.918,3.478,1.3,0.927,-0.011,2.398,2.409,3.833,1.587,9.667,9.657,1.016,1.841
so isn't it isn't it isn't it the focus of Korean people to protect is,320,2,1,0,1,1,0,320,2,2,0,1,0,0,-1.059,-0.51,-0.89,-1.138,0.952,0.164,0.029,-0.768,-0.727,0.503,1.246,0.574,8.329,6.101,2.308,0.129
is countrymen first instead of receiving those people from oversea,325,2,1,0,0,1,0,325,2,2,0,1,0,0,-1.139,-1.077,-0.318,-1.191,3.455,1.679,-0.264,-0.784,0.556,1.499,0.884,0.051,5.911,5.604,0.224,0.585
and and in order for example if you want to get them in I,330,2,2,0,0,1,0,330,2,2,0,1,0,0,-1.525,-1.589,-1.284,-1.374,-0.037,-0.656,-1.232,-1.633,2.05,6.85,3.143,0.503,11.119,2.968,-0.881,0.766
want to get the refugee and just in case that you need to have a real treatment like a huge amount of,335,2,1,0,0,1,0,335,2,2,0,0,1,0,-1.149,-0.964,-0.595,-1.155,2.209,2.343,-0.249,-0.465,-0.386,1.398,0.309,-0.06,7.5,8.963,-0.289,-0.691
resources to actually build cam or actually have a proper way for,340,2,1,0,0,1,0,340,2,2,0,0,1,0,-1.516,-1.38,-1.121,-1.213,0.875,1.376,-0.497,-1.406,1.278,5.865,4.075,0.709,7.255,10.501,0.646,0.259
the Yemen people to actually mingle with the Korean people because Korean is actually,345,2,2,0,0,1,0,345,2,2,0,0,1,0,-1.485,-0.516,-1.23,-0.988,0.29,0.207,-0.071,-1.317,-1.108,0.049,-0.661,-0.946,3.277,1.066,-1.282,-1.376
as I said people are homogeneous country so they don't really accept International people from over C,350,2,2,0,0,1,0,350,2,2,0,0,1,0,-0.865,-0.014,-0.882,-0.73,3.669,-0.04,0.711,-0.399,-0.238,-0.707,-0.099,-0.785,4.601,2.366,-0.652,-1.073
so in that case I think Korean people need to change a lot and need to invest a lot not just in not such like,355,2,2,0,0,1,0,355,2,2,0,0,1,0,-1.322,-0.774,-1.091,-1.137,-0.029,-0.099,-0.354,-1.129,2.643,2.92,3.013,1.043,7.692,8.769,0.663,1.95
in resources but also in their mindset in order to,360,2,1,0,0,1,0,360,2,2,0,1,1,0,-1.185,-1.247,-1.299,-1.1,1.362,0.289,-1.458,-1.039,-0.738,-0.062,-0.586,-0.845,2.926,1.623,-1.155,-0.76
accept the refugee and help them to become Korean,365,2,1,0,0,1,0,365,2,2,0,1,1,0,-1.104,-0.334,-1.411,-1.2,0.296,0.004,-0.132,-1.606,0.479,1.035,0.727,0.71,4.944,3.791,0.675,-0.478
North Korea is not luck now the homogeneous flow Theory anymore Priyanka I have had receiving,370,2,1,0,0,1,0,370,2,2,0,1,1,0,-1.29,-1.328,-1.195,-1.14,0.454,0.08,-0.726,-1.312,-0.612,1.027,-0.442,-0.521,0.857,1.489,1.667,-0.269
refugees from especially girls from the rural side,375,2,1,0,0,1,0,375,2,2,0,1,1,0,-1.006,-1.31,-1.276,-1.249,0.585,0.839,-1.776,-1.428,0.614,-0.512,0.349,-0.186,5.27,3.621,-0.438,0.207
including Android side career says always has lack of Boomers,380,2,1,0,0,1,0,380,2,2,0,0,1,0,-1.243,-1.472,-1.376,-1.311,-0.191,-0.393,-1.321,-1.687,-0.804,0.108,-0.909,-0.759,1.254,0.812,-0.644,-0.305
So Korea s rural side has decreasing continuously decreasing people,385,2,1,0,0,1,0,385,2,2,0,0,1,0,-1.29,-1.012,-1.282,-1.119,-0.036,-0.167,0.097,-1.042,-0.505,-1.147,-0.884,-1.047,1.209,0.192,-0.516,-1.261
so we should we should get refugees for the,390,2,1,0,0,1,0,390,2,2,0,0,1,0,-1.082,-1.255,-1.101,-0.345,2.309,1.939,-0.408,-1.413,-0.269,0.256,-0.086,-0.534,3.395,1.316,-0.557,0.236
photo Korean rural sites of decrease of decreasing to people,395,2,1,0,0,2,0,395,2,2,0,0,0,0,-1.192,-0.709,-1.161,-1.132,0.361,0.787,0.25,-1.614,-0.952,-0.436,-0.006,-0.928,1.509,2.391,0.519,-1.354
to prevent the Korean tour brought Brooklyn of growth in our communities,400,1,1,0,0,2,0,400,2,2,0,1,0,0,-1.561,-1.453,-1.512,-1.274,-0.21,-0.743,-0.419,-1.678,-0.859,-0.739,-0.518,-0.302,2.878,1.702,-0.565,-0.833
actually Korea have as many,405,1,1,0,0,1,0,405,2,2,0,0,0,0,-1.379,-1.251,-1.297,-1.183,-0.283,-0.369,-2.189,-1.188,0.366,1.294,0.41,0.103,7.959,3.417,0.301,-0.201
don't poor people but but giving for giving money to poor people,410,1,1,0,0,2,0,410,2,2,0,0,0,0,0.545,-0.77,1.794,-0.455,7.415,2.621,0.017,-0.169,0.327,-0.559,-0.707,-1.001,1.146,1.365,-0.929,0.11
and giving money to religious it's just the same way we are poor people don't have,415,1,1,0,0,1,0,415,2,2,0,0,0,0,-1.006,-0.309,-1.21,-0.948,0.868,0.154,0.6,-1.233,0.222,-0.021,0.417,0.127,3.347,2.371,0.888,0.829
taxes don't do actually they they receive,420,1,1,0,0,1,0,420,2,2,0,0,0,0,-1.31,-1,-1.219,-1.01,0.016,-0.404,0.207,-1.56,-0.302,-0.623,-0.628,-0.695,2.896,2.361,-0.678,0.196
more than they pay they receive just listening and hearing people and she had before,425,1,1,0,0,2,0,425,2,2,0,0,0,0,-0.665,-0.805,-1.235,-0.752,0.881,1.562,0.185,-0.807,0.02,-0.689,-0.62,-0.832,1.53,1.958,0.061,-0.558
going to talk busy yeah man keepo,430,1,1,0,0,2,0,430,2,2,0,0,0,0,-1.323,-0.965,-1.177,-1.009,0.288,0.008,0.746,-0.853,-1.096,-0.509,-1.08,-0.782,1.04,0.248,-1.619,-0.906
/ it we're harvesting for harvesting we cannot Harvest from Quorum for people that live in slums,435,1,1,0,0,1,0,435,2,2,0,0,0,0,-1.703,-1.623,-1.533,-1.462,-0.695,-0.795,-0.776,-1.981,3.016,2.665,1.286,1.42,11.033,10.005,0.038,-0.509
like us but we can get some good news,440,1,1,0,0,2,0,440,2,2,0,0,0,0,-1.026,-0.788,-0.616,-1.104,3.18,2.667,-0.315,-0.379,-0.425,-0.894,-0.596,-0.769,1.15,1.245,-0.284,-1.335
about in future in Yemen people investment,445,1,1,0,0,2,0,445,2,2,0,0,1,0,-1.455,-1.158,-1.183,-0.986,-0.81,-0.827,-1.174,-1.977,0.13,0.547,0.64,1.689,6.785,4.828,-0.228,0.666
you talk about other kind,450,1,1,0,0,2,0,450,2,2,0,0,1,0,-1.467,-0.718,-1.317,-1.41,-0.168,-0.096,-0.69,-1.166,1.473,1.174,2.806,0.232,6.701,8.558,1.093,0.905
of immigrant from other country right but most of them as far as I know come from Asian country and,455,1,1,0,0,1,0,455,2,2,0,0,1,0,-1.356,-1.183,-1.406,-1.38,-0.235,-0.132,-0.15,-1.233,1.787,2.303,4.979,0.349,7.945,4.867,0.628,1.263
for example Vietnam China or other nearby country however,460,1,1,0,0,1,0,460,2,2,0,0,1,0,-1.353,-1.361,-1.223,-1.065,0.139,0.283,-0.131,-1.557,0.773,0.949,1.039,-0.597,5.264,3.956,-0.686,0.357
Yemen is very different from,465,1,1,0,0,2,0,465,2,2,0,0,1,0,-1.663,-1.268,-1.582,-1.425,-0.965,-1.106,-0.976,-1.688,0.103,1.042,1.728,-0.033,5.383,5.174,-0.887,0.925
all from those people from that country because Yemen they actually come from far,470,1,1,0,0,1,0,470,2,2,0,0,1,0,-1.596,-1.573,-1.547,-1.425,-1.021,-1.148,-1.194,-1.644,0.757,0.534,0.717,0.778,2.063,1.492,1.347,2.745
away which is most and most of their religion is Muslim which is,475,1,1,0,0,1,0,475,2,2,0,0,1,0,-1.534,-1.271,-1.506,-1.363,-0.437,-0.937,-1.012,-1.529,1.929,0.699,1.55,0.096,3.488,5.731,-0.117,0.011
really different from what Korea or with make their culture is very different from,480,1,2,0,0,1,0,480,2,2,0,0,1,0,-1.383,-1.179,-1.412,-1.302,-0.003,-0.684,1.837,-1.238,0.524,1.77,0.504,-0.528,10.293,3.699,-0.46,-1.135
what Korean people are facing right now China and other Asian cultures in many,485,1,2,0,0,1,0,485,2,2,0,0,1,0,-1.432,-1.456,-1.462,-1.403,-0.617,-0.918,-0.818,-1.884,0.339,1.535,1.046,-0.1,5.829,2.071,0.982,0.185
different from Korean culture actually I'm from the myself and I think that the difference is,490,1,1,0,0,1,0,490,2,2,0,0,1,0,-1.35,-1.246,-1.227,-1.3,-0.252,-0.559,-0.919,-1.45,0.138,-0.037,0.761,-0.424,4.033,3.23,-1.102,-0.001
between Vietnamese Vietnamese people in Korea people are very smaller compared to Yemen people,495,1,2,0,0,1,0,495,2,2,0,0,1,0,-1.1,-0.947,-1.186,-0.912,1.231,0.974,-0.318,-1.001,0.22,0.732,0.886,0.023,5.405,4.747,1.014,-0.463
